CMTE_ID,CMTE_NM,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_STATE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,TRANSACTION_DT,TRANSACTION_AMT,TRANSACTION_TP,COMMUNICATION_TP,COMMUNICATION_CLASS,SUPPORT_OPPOSE_IND,IMAGE_NUM,LINE_NUM,FORM_TP_CD,SCHED_TP_CD,TRAN_ID,SUB_ID,FILE_NUM,RPT_YR,CAND_STATE_DESCRIPTION,CAND_PTY_AFFILIATION_DESCRIPTION,PURPOSE
"C70004940","ALAMEDA CENTRAL LABOR COUNCIL","H0CA15148","HONDA, MIKE","H","CA","17","DEM","20160922","1124.67","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610280300115140","","F7","F76","F7612061651401","1032920170034210417","1129020","2016","CALIFORNIA","Democratic Party",""
"C70004940","ALAMEDA CENTRAL LABOR COUNCIL","S6CA00584","HARRIS, KAMALA D","S","CA","00","DEM","20161009","1124.67","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610280300115141","","F7","F76","F7612061651413","1032920170034210419","1129020","2016","CALIFORNIA","Democratic Party",""
"C70004940","ALAMEDA CENTRAL LABOR COUNCIL","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161009","1124.67","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610280300115140","","F7","F76","F7612061651402","1032920170034210418","1129020","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160220","4444.8","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661721","2051020161292467236","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160220","668.21","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661722","2051020161292467237","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160311","3950.24","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617219","2051020161292467254","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160220","2457.14","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661723","2051020161292467238","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160220","4182.6","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661724","2051020161292467239","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160220","5196.21","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661725","2051020161292467240","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160122","2967.72","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661726","2051020161292467241","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160128","553.14","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661727","2051020161292467242","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160210","3594.71","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661728","2051020161292467243","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160217","5035.38","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F7605101661729","2051020161292467244","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160216","3857.12","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617210","2051020161292467245","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160222","5402.97","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617211","2051020161292467246","1067030","2016","UNITED STATES","Democratic Party",""
