CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"","","","","","C30002679","45COMMITTEE INC.","201610319037011387","MENTZER MEDIA SERVICES INC.","210 W. PENNSYLVANIA AVE.","TOWSON","MD","MEDIA PLACEMENT - IRAN SANCTIONS ACT EXTENSION","25-OCT-16","27-OCT-16","27-OCT-16","663320","1","663320"
"","","","","","C30002679","45COMMITTEE INC.","201610319037011387","OUTLAW MEDIA","P.O. BOX 9735","ARLINGTON","VA","MEDIA PRODUCTION - IRAN SANCTIONS ACT EXTENSION","26-OCT-16","27-OCT-16","27-OCT-16","8000","1","8000"
"H2PA09035","SHUSTER, WILLIAM MR.","H","PA","09","C30002737","AMALGAMATED TRANSIT UNION","201611039037110523","FINGERHUT GRANADOS OPINION RESEARCH","307 YOAKUM PKWY STE. 1409","ALEXANDRIA","VA","RADIO ADVERTISING PRODUCTION AND BUY FOR ALTOONA PA","02-NOV-16","02-NOV-16","02-NOV-16","22000","1","22000"
"H4VA10089","COMSTOCK, BARBARA J HONORABLE","H","VA","10","C30002737","AMALGAMATED TRANSIT UNION","201611039037110594","FINGERHUT GRANADOS OPINION RESEARCH","307 YOAKUM PKWY STE. 1409","ALEXANDRIA","VA","RADIO ADVERTISING PRODUCTION AND BUY FOR NORTHERN VIRGINIA TRANSIT","28-OCT-16","28-OCT-16","28-OCT-16","75000","1","75000"
"S0MO00183","BLUNT, ROY","S","MO","00","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201607069020364461","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: SUPPORT FOR SEN. ROY BLUNT (R-MO)","30-JUN-16","06-JUL-16","30-JUN-16","291600","1","291600"
"H0KS04051","POMPEO, MICHAEL RICHARD","H","KS","04","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201607209021673592","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST&CABLE TELEVISION AD BUY:SUPPORT FOR SEN. JERRY MORAN (R-KS) AND REP. MIKE POMPEO (R-KS-04)","15-JUL-16","19-JUL-16","19-JUL-16","133447.5","2","66723.75"
"H0KS04051","POMPEO, MICHAEL RICHARD","H","KS","04","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201607209021673592","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST&CABLE TELEVISION AD BUY:SUPPORT FOR SEN. JERRY MORAN (R-KS) AND REP. MIKE POMPEO (R-KS-04)","15-JUL-16","19-JUL-16","19-JUL-16","133447.5","2","66723.75"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201610079032195217","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: PROTECT","06-OCT-16","06-OCT-16","06-OCT-16","566512","1","566512"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201610079032195226","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: JOBS","06-OCT-16","06-OCT-16","06-OCT-16","380904","1","380904"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201610079032195229","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: WORKING FOR YOU","06-OCT-16","06-OCT-16","06-OCT-16","101500","1","101500"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201610079032195232","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: TOGETHER","06-OCT-16","06-OCT-16","06-OCT-16","332700","2","166350"
"","","","","","C30002430","AMERICAN CHEMISTRY COUNCIL INC","201610079032195232","REVOLUTION MEDIA GROUP","1020 PRINCESS STREET","ALEXANDRIA","VA","BROADCAST AND CABLE TELEVISION AD BUY: TOGETHER","06-OCT-16","06-OCT-16","06-OCT-16","332700","2","166350"
"","","","","","C30002596","CAROLINIANS FOR FREEDOM","201611189037213439","ONMESSAGE INC.","705 MELVIN AVENUE #105","ANNAPOLIS","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT LIBERAL POLITICIANS","07-OCT-16","11-OCT-16","11-OCT-16","697579.3","1","697579.3"
"","","","","","C30002596","CAROLINIANS FOR FREEDOM","201611189037213439","ONMESSAGE INC.","705 MELVIN AVENUE #105","ANNAPOLIS","MD","ADVERTISING - PRODUCTION LIBERAL POLITICIANS","07-OCT-16","11-OCT-16","11-OCT-16","36762.7","1","36762.7"
"","","","","","C30002596","CAROLINIANS FOR FREEDOM","201611189037213442","ONMESSAGE INC.","705 MELVIN AVENUE #105","ANNAPOLIS","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT LIBERAL POLITICIANS","03-OCT-16","04-OCT-16","04-OCT-16","644170.3","1","644170.3"
"","","","","","C30002596","CAROLINIANS FOR FREEDOM","201611189037213442","ONMESSAGE INC.","705 MELVIN AVENUE #105","ANNAPOLIS","MD","ADVERTISING - PRODUCTION LIBERAL POLITICIANS","03-OCT-16","04-OCT-16","04-OCT-16","33951.7","1","33951.7"
"S6AL00013","SHELBY, RICHARD C","S","AL","00","C30002232","CITIZENS FOR A SOUND GOVERNMENT","201602119008455237","SANDLER-INNOCENZI INC.","705 PRINCE STREET","ALEXANDRIA","VA","PRODUCTION AND MEDIA BUY FOR  TELEVISION DIGITAL AND BANNER ADVERTISEMENTS FOR FREEDOM'S FIGHT","10-FEB-16","15-FEB-16","10-FEB-16","412974.64","1","412974.64"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002372","CLUB FOR GROWTH","201603189009799251","RED SEA LLC","4550 MONTGOMERY AVE.","BETHESDA","MD","TV AD AIR BUY PRODUCTION COSTS SOME PEOPLE 3/17/2016","17-MAR-16","17-MAR-16","17-MAR-16","232050","2","116025"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002372","CLUB FOR GROWTH","201603189009799251","RED SEA LLC","4550 MONTGOMERY AVE.","BETHESDA","MD","TV AD AIR BUY PRODUCTION COSTS SOME PEOPLE 3/17/2016","17-MAR-16","17-MAR-16","17-MAR-16","232050","2","116025"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002372","CLUB FOR GROWTH","201603189009799251","BASK DIGITAL MEDIA LLC","15260 VENTURA BLVD.","SHERMAN OAKS","CA","DIGITAL AD PLACEMENT PRODUCTION COSTS SOME PEOPLE 3/18/16","18-MAR-16","18-MAR-16","17-MAR-16","44500","2","22250"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002372","CLUB FOR GROWTH","201603189009799251","BASK DIGITAL MEDIA LLC","15260 VENTURA BLVD.","SHERMAN OAKS","CA","DIGITAL AD PLACEMENT PRODUCTION COSTS SOME PEOPLE 3/18/16","18-MAR-16","18-MAR-16","17-MAR-16","44500","2","22250"
"","","","","","C30002448","COMMITTEE FOR ACCOUNTABLE GOVERNMENT IN MISSOURI","201610289037003481","STRATEGIC MEDIA SERVICES","1911 NORTH FT MYER DRIVE","ARLINGTON","VA","MISSOURI STATE-LEVEL CAMPAIGN AD OPPOSING CHRIS KOSTER FOR GOVERNOR BUT MENTIONS HILLARY CLINTON","25-OCT-16","27-OCT-16","27-OCT-16","453540","1","453540"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002588","COMMON SENSE VALUES IE COMMITTEE","201609129030769227","MUNDY KATOWITZ MEDIA","1322 G STREET SE","WASHINGTON","DC","WE KNOW OUR KIDS ARE LISTENING RADIO AD IN COLORADO HOUSE DISTRICT 59","30-AUG-16","10-SEP-16","10-SEP-16","6087","1","6087"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002588","COMMON SENSE VALUES IE COMMITTEE","201610209033079402","MUNDY KATOWITZ MEDIA","1322 G STREET SE","WASHINGTON","DC","TIRED OF TRUMP RADIO AD IN COLORADO HOUSE DISTRICT 17","14-OCT-16","18-OCT-16","18-OCT-16","4836","1","4836"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002588","COMMON SENSE VALUES IE COMMITTEE","201610319037011248","MUNDY KATOWITZ MEDIA","1322 G STREET SE","WASHINGTON","DC","TIRED OF TRUMP RADIO AD IN COLORADO HOUSE DISTRICT 17","21-OCT-16","27-OCT-16","27-OCT-16","7995.71","1","7995.71"
"S0IA00028","GRASSLEY, CHARLES E SENATOR","S","IA","00","C30002414","CONSTITUTIONAL RESPONSIBILITY PROJECT","201605119015433234","SKDKNICKERBOCKER","1150 18TH STREET NW #800","WASHINGTON","DC","TELEVISION PRODUCTION OF OLD CHUCK - ESTIMATE","10-MAY-16","10-MAY-16","10-MAY-16","11795.47","1","11795.47"
"S0IA00028","GRASSLEY, CHARLES E SENATOR","S","IA","00","C30002414","CONSTITUTIONAL RESPONSIBILITY PROJECT","201605119015433234","SKDKNICKERBOCKER","1150 18TH STREET NW #800","WASHINGTON","DC","TELEVISION ADVERTISING OF OLD CHUCK","10-MAY-16","10-MAY-16","10-MAY-16","19477.6","1","19477.6"
"H2NC01081","JONES, WALTER B.","H","NC","03","C30002422","EASTERN CAROLINA CONSERVATIVE FUND","201606159017910991","IMPACT STRATEGIES, INC.","PO BOX 18165","RALEIGH","NC","TV 1 ELECTIONEERING COMMUNICATION","17-MAY-16","19-MAY-16","19-MAY-16","42000","2","21000"
"H4NC03059","GRIFFIN, WILLIAM TAYLOR","H","NC","03","C30002422","EASTERN CAROLINA CONSERVATIVE FUND","201606159017910991","IMPACT STRATEGIES, INC.","PO BOX 18165","RALEIGH","NC","TV 1 ELECTIONEERING COMMUNICATION","17-MAY-16","19-MAY-16","19-MAY-16","42000","2","21000"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002711","INTERIOR VOTERS FOR JOHN COGHILL","201611029037018363","PORCARO COMMUNICATIONS","433 W 9TH AVE.","ANCHORAGE","AK","PRODUCTION FEE FOR TV HOPKINS CLINTON AD - IDENTIFIES HILLARY CLINTON POLICY POSITIONS","28-OCT-16","01-NOV-16","01-NOV-16","1250","1","1250"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002711","INTERIOR VOTERS FOR JOHN COGHILL","201611029037018363","PORCARO COMMUNICATIONS","433 W 9TH AVE.","ANCHORAGE","AK","PLACEMENT FEE FOR TV HOPKINS CLINTON AD - IDENTIFIES HILLARY CLINTON POLICY POSITIONS","28-OCT-16","01-NOV-16","01-NOV-16","5000","1","5000"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002703","KENTUCKY FAMILY VALUES","201611019037017878","LOOKOUT MEDIA","PO BOX 33341","WASHINGTON","DC","MEDIA PRODUCTION SERVICES - FRANKFORT FILES","31-OCT-16","31-OCT-16","31-OCT-16","1368.32","1","1368.32"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002703","KENTUCKY FAMILY VALUES","201611019037017878","BUYING TIME MEDIA LLC","650 MASSACHUSETTS AVNEUE NW","WASHINGTON","DC","TV MEDIA BUY - FRANKFORT FILES","28-OCT-16","31-OCT-16","31-OCT-16","14310","1","14310"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002653","MAINSTREAM VOTERS OF WA","201612289040903869","CHINOOK CONSULTING","250 SE ALLEN RD","SHELTON","WA","DIRECT MAIL PRODUCTION/POSTAGE","24-OCT-16","24-OCT-16","24-OCT-16","5971.65","1","5971.65"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002653","MAINSTREAM VOTERS OF WA","201612289040903874","CHINOOK CONSULTING","250 SE ALLEN RD","SHELTON","WA","DIRECT MAIL/PRODUCTION - OPPOSE","29-OCT-16","29-OCT-16","29-OCT-16","5971.65","1","5971.65"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002653","MAINSTREAM VOTERS OF WA","201612289040903874","NWP CONSULTING","105 S. MAIN STREET STE 332","SEATTLE","WA","WEBSITE - OPPOSE","29-OCT-16","29-OCT-16","29-OCT-16","4841.5","1","4841.5"
