CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"","","","","","C30003198","A STRONGER LOUISIANA","202010069285029120","ARSEMENT MEDIA GROUP","411 EAST DEMANADE DRIVE","LAFAYETTE","LA","TELEVISION ADVERTISING & PRODUCTION","05-OCT-20","06-OCT-20","06-OCT-20","71290","1","71290"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007109244414082","MVAR MEDIA LLC","1421 PRINCE STREET","ALEXANDRIA","VA","MEDIA PRODUCTION - 'VACATION'","08-JUL-20","09-JUL-20","09-JUL-20","16377.4","1","16377.4"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007109244414082","TARGETED PLATFORM MEDIA LLC","P.O. BOX 237","CROWNSVILLE","MD","TELEVISION ADVERTISING BUY - 'VACATION'","07-JUL-20","09-JUL-20","09-JUL-20","211667","1","211667"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007159244653408","TARGETED PLATFORM MEDIA, LLC","P.O. BOX 237","CROWNSVILLE","MD","TELEVISION ADVERTISING BUY - 'VACATION'","13-JUL-20","14-JUL-20","14-JUL-20","84666.8","1","84666.8"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007159244661899","MVAR MEDIA LLC","1421 PRINCE STREET","ALEXANDRIA","VA","MEDIA PRODUCTION - 'BARTENDER'","13-JUL-20","14-JUL-20","14-JUL-20","10345.59","1","10345.59"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007159244661899","TARGETED PLATFORM MEDIA, LLC","P.O. BOX 237","CROWNSVILLE","MD","TELEVISION ADVERTISING BUY - 'BARTENDER'","13-JUL-20","14-JUL-20","14-JUL-20","127000.2","1","127000.2"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007229260727983","TARGETED PLATFORM MEDIA, LLC","P.O. BOX 237","CROWNSVILLE","MD","TELEVISION ADVERTISING BUY - 'VACATION'","20-JUL-20","21-JUL-20","21-JUL-20","84666","1","84666"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202007229260730228","TARGETED PLATFORM MEDIA, LLC","P.O. BOX 237","CROWNSVILLE","MD","TELEVISION ADVERTISING BUY - 'BARTENDER'","20-JUL-20","21-JUL-20","21-JUL-20","127000","1","127000"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202010179297137465","MVAR MEDIA LLC","1421 PRINCE STREET","ALEXANDRIA","VA","RADIO ADVERTISING PRODUCTION  - 'DR. ORTIZ'","16-OCT-20","16-OCT-20","16-OCT-20","2995.57","1","2995.57"
"S8AZ00221","MCSALLY, MARTHA","S","AZ","00","C30003032","ADVANCING AZ","202010179297137465","TARGETED PLATFORM MEDIA, LLC","P.O. BOX 237","CROWNSVILLE","MD","RADIO ADVERTISING BUY - 'DR. ORTIZ'","15-OCT-20","16-OCT-20","16-OCT-20","865000","1","865000"
"P80001751","","","","","C30003065","AFT SOLIDARITY","202008149261303556","AL MEDIA","222 WEST ONTARIO SUITE 600","CHICAGO","IL","TV ADVERTISING: PAUSE BUTTON","07-AUG-20","12-AUG-20","12-AUG-20","328626","1","328626"
"P80001571","TRUMP, DONALD J.","P","US","00","C30003065","AFT SOLIDARITY","202008109261288009","AL MEDIA","222 WEST ONTARIO","CHICAGO","IL","TV ADVERTISING: PAUSE BUTTON","07-AUG-20","08-AUG-20","08-AUG-20","168005","1","168005"
"H2TX23082","CUELLAR, HENRY","H","TX","28","C30002851","AMERICAN BANKERS ASSOCIATION","202002209186609111","MOSIAC MEDIA STRATEGY GROUP","1250 I STREET NW","WASHINGTON","DC","FOR US / PARA NOSOTROS ELECTIONEERING COMMUNICATIONS - RADIO","20-FEB-20","20-FEB-20","20-FEB-20","86383","1","86383"
"S0KS00315","MARSHALL, ROGER W","S","KS","00","C30002851","AMERICAN BANKERS ASSOCIATION","202007249260813235","THE ORANGE AGENCY","2111 EISENHOWER AVENUE","ALEXANDRIA","VA","CRISIS ELECTIONEERING COMMUNICATIONS - TV AND RADIO","23-JUL-20","23-JUL-20","23-JUL-20","171760.1","1","171760.1"
"S6ME00159","COLLINS, SUSAN M.","S","ME","00","C30002851","AMERICAN BANKERS ASSOCIATION","202008289267050998","SOMETHING ELSE STRATEGIES","212 GOLDEN WILLOW COURT","EASLEY","SC","DELIVERING ELECTIONEERING COMMUNICATION - TV","28-AUG-20","28-AUG-20","28-AUG-20","250000","1","250000"
"H4FL26038","CURBELO, CARLOS MR.","H","FL","26","C30002851","AMERICAN BANKERS ASSOCIATION","201809209123917796","SOMETHING ELSE STRATEGIES","212 GOLDEN WILLOW COURT?","EASLEY","SC","DREAM ELECTIONEERING COMMUNICATIONS - BROADCAST AND CABLE ADVERTISING","19-SEP-18","19-SEP-19","19-SEP-19","125000","1","125000"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202009099267124269","SOMETHING ELSE STRATEGIES","212 GOLDEN WILLOW COURT","EASLEY","SC","NOT DONE YET ELECTIONEERING COMMUNICATION - TV","09-SEP-20","09-SEP-20","09-SEP-20","125000","1","125000"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202009169267205042","REVOLUTION MEDIA GROUP","500 MONTGOMERY STREET","ALEXANDRIA","VA","LIFELINE ELECTIONEERING COMMUNICATION - TV","16-SEP-20","16-SEP-20","16-SEP-20","500000","1","500000"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202009309284982634","THE ORANGE AGENCY","2111 EISENHOWER AVENUE","ALEXANDRIA","VA","FIGHTING FOR NEBRASKA ELECTIONEERING COMMUNICATION - RADIO","30-SEP-20","30-SEP-20","30-SEP-20","4737.84","1","4737.84"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202009309284982957","THE ORANGE AGENCY","2111 EISENHOWER AVENUE","ALEXANDRIA","VA","FIGHTING FOR NEBRASKA ELECTIONEERING COMMUNICATION - RADIO","30-SEP-20","30-SEP-20","30-SEP-20","4737.84","1","4737.84"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202009309284982496","THE ORANGE AGENCY","2111 EISENHOWER AVENUE","ALEXANDRIA","VA","RELIEF ELECTIONEERING COMMUNICATION - TV","30-SEP-20","30-SEP-20","30-SEP-20","120262.16","1","120262.16"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202010099285067362","THE ORANGE AGENCY","2111 EISENHOWER AVENUE","ALEXANDRIA","VA","TIRELESS ELECTIONEERING COMMUNICATION - TV","09-OCT-20","09-OCT-20","09-OCT-20","200000","1","200000"
"","","","","","C30002851","AMERICAN BANKERS ASSOCIATION","202010079285044545","THE ORANGE AGENCY","2111 EISENHOWER AVENUE","ALEXANDRIA","VA","ACCOUNTABLE ELECTIONEERING COMMUNICATION - TV","07-OCT-20","07-OCT-20","07-OCT-20","125000","1","125000"
